,cluster,label
0,0,
1,1,
2,2,Not Message
3,3,
4,4,
5,5,
6,6,
7,7,
8,8,
9,9,
10,10,
11,11,
12,12,
13,13,
14,14,
15,15,
16,16,
17,17,
18,18,
19,19,
20,20,
21,21,
22,22,
23,23,Not Message
24,24,
25,25,Not Message
26,26,
27,27,
28,28,
29,29,Not Message
30,30,
31,31,
32,32,
33,33,
34,34,
35,35,
36,36,
37,37,
38,38,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,57,Not Message
57,58,
58,59,
59,60,
60,62,
61,63,
62,64,
63,65,
64,66,Not Message
65,67,Not Message
66,68,
67,69,
68,70,
69,71,
70,72,
71,73,
72,74,
73,75,
74,76,
75,77,
76,78,
77,79,
78,80,
79,81,
80,82,
81,83,
82,84,
83,85,
84,86,
85,87,
86,88,Not Message
87,89,
88,90,
89,91,
90,94,
91,95,
92,96,
93,97,
94,98,
95,99,
96,100,
97,101,
98,102,
99,104,
100,105,
101,106,
102,107,
103,108,
104,109,
105,110,
106,111,Not Message
107,112,
108,113,
109,114,
110,115,
111,116,
112,117,
113,118,
114,119,
115,120,
116,121,
117,122,
118,123,
119,124,
120,125,
121,126,
122,127,
123,128,Not Message
124,129,
125,130,
126,131,
127,132,
128,133,
129,134,
130,135,
131,136,
132,137,
133,138,
134,139,
135,140,
136,141,
137,142,
138,143,
139,144,
140,145,
141,146,
142,147,
143,148,
144,149,
145,150,
146,151,
147,152,Not Message
148,153,
149,154,
150,155,
151,156,
152,157,
153,158,
154,159,
155,160,
156,161,
157,162,
158,163,
159,164,
160,165,
161,166,
162,167,
163,168,
164,169,
165,171,
166,172,
167,173,
168,174,
169,175,Not Message
170,176,
171,177,
172,178,
173,179,
174,180,
175,181,
176,182,
177,183,
178,184,
179,185,
180,186,
181,187,
182,188,
183,190,
184,191,
185,192,Not Message
186,193,
187,194,
188,195,
189,196,
190,197,
191,198,
192,199,
193,200,
194,201,
195,202,
196,203,Not Message
197,204,
198,205,
199,206,
200,207,
201,208,
202,209,
203,210,
204,211,
205,212,
206,213,
207,214,
208,215,
209,216,
210,217,
211,218,
212,219,
213,220,
214,221,
215,222,
216,223,
217,224,
218,225,
219,226,
220,227,
221,228,
222,229,
223,230,
224,231,
225,232,
226,233,
227,234,
228,235,
229,236,
230,237,
231,238,
232,239,
233,240,
234,241,
235,242,
236,243,
237,244,
238,245,
239,246,
240,247,
241,248,
242,249,
